"";"Group";"Level";"Type";"mean";"median";"0%";"25%";"50%";"75%";"90%";"95%";"99%";"100%";"max";"IQR"
"46";"Group";"[70,75)";"ICU";26,4578713968958;20;0;12;20;34;56;72;108,96;168;168;22
"47";"Group";"[75,80)";"nonICU";14,316890080429;10;0;5;10;18;31;41;72;230;230;13
"48";"Group";"[75,80)";"ICU";25,7887931034483;19;0;11;19;31;58,5;80,25;103,35;168;168;20
"49";"Group";"[80,150)";"nonICU";13,4425641836681;9;0;5;9;17;29;39;68;267;267;12
"50";"Group";"[80,150)";"ICU";22,6684397163121;17;0;9;17;28;46,7;61;100,11;210;210;19
"51";"Entry.month";"2020-03";"nonICU";19,6995708154506;12;0;6;12;25;46;63;101;348;348;19
"52";"Entry.month";"2020-03";"ICU";32,4289544235925;24;0;13;24;40;65,8;92,4;142,36;202;202;27
"53";"Entry.month";"2020-04";"nonICU";15,7938868236266;11;0;5;11;21;34;44;76;288;288;16
"54";"Entry.month";"2020-04";"ICU";27,1091549295775;22;0;13;22;37;54,7;72,5499999999999;92,3600000000001;109;109;24
"55";"Entry.month";"2020-05";"nonICU";15,4854186265287;10;0;4;10;20;33,8000000000001;44;83,1399999999996;277;277;16
"56";"Entry.month";"2020-05";"ICU";26,256;22;0;12;22;34;45;61,4;106,92;166;166;22
"57";"Entry.month";"2020-06";"nonICU";14,0945033751205;9;0;4;9;17;31;44;80,2000000000005;165;165;13
"58";"Entry.month";"2020-06";"ICU";28,6643835616438;21;0;12;21;38,75;55,5;78,75;126,55;141;141;26,75
"59";"Entry.month";"2020-07";"nonICU";15,6123399301513;10;0;4,5;10;17;33;51,0999999999999;126,1;236;236;12,5
"60";"Entry.month";"2020-07";"ICU";27,1834862385321;17;0;9;17;30;61,4;72,8;205,92;216;216;21
"61";"Entry.month";"2020-08";"nonICU";17,7601246105919;10;0;5;10;20;42,9;64;127,31;192;192;15
"62";"Entry.month";"2020-08";"ICU";29,6036036036036;18;1;10;18;37,5;68;86,5;174,9;193;193;27,5
"63";"Entry.month";"2020-09";"nonICU";17,1166544387381;11;0;5;11;21;39;55,8999999999999;98,3799999999999;230;230;16
"64";"Entry.month";"2020-09";"ICU";30,0772532188841;22;0;13;22;34;63,6;85;129,72;168;168;21
"65";"Entry.month";"2020-10";"nonICU";13,2847077244259;9;0;5;9;16;28;41;81;214;214;11
"66";"Entry.month";"2020-10";"ICU";24,8037542662116;17;0;11;17;30,75;53,5;69;119,75;163;163;19,75
"67";"Entry.month";"2020-11";"nonICU";12,2370801033592;8;0;4;8;15;26;37;66,6099999999997;200;200;11
"68";"Entry.month";"2020-11";"ICU";24,5179487179487;18;0;10;18;31;52,6;68,3;99,52;200;200;21
"69";"Entry.month";"2020-12";"nonICU";13,138270947116;9;0;5;9;17;29;40;62;145;145;12
"70";"Entry.month";"2020-12";"ICU";22,4859584859585;18;0;11;18;30;45;58;81,8199999999999;116;116;19
"71";"Entry.month";"2021-01";"nonICU";10,9918760343012;8;0;4;8;14;24;31;52,0699999999997;158;158;10
"72";"Entry.month";"2021-01";"ICU";21,643816254417;16;0;10;16;26;44,6000000000001;61;96,0199999999993;158;158;16
"73";"Entry.month";"2021-02";"nonICU";9,58601195283476;7;0;4;7;12;20;26;44;97;97;8
"74";"Entry.month";"2021-02";"ICU";22,0212765957447;17;0;10;17;28;44;60,15;85,8599999999999;119;119;18
"75";"Entry.month";"2021-03";"nonICU";10,0688437775816;7;0;4;7;13;21;28,3999999999999;50,3600000000001;78;78;9
"76";"Entry.month";"2021-03";"ICU";19,3115942028986;17;0;10;17;25;38,3;48,3;62,52;75;75;15
