"";"Group";"Level";"Type";"mean";"median";"0%";"25%";"50%";"75%";"90%";"95%";"99%";"100%";"max";"IQR"
"43";"Group";"[65,70)";"nonICU";13,790099009901;9;0;4;9;19;31;43,8;72,96;99;99;15
"44";"Group";"[65,70)";"ICU";21,2140921409214;16;0;9;16;27;41;55;102,88;199;199;18
"45";"Group";"[70,75)";"nonICU";13,5813106796117;8;0;4;8;17;30,7;41;82,3099999999999;132;132;13
"46";"Group";"[70,75)";"ICU";19,2365038560411;16;0;10;16;26;35,2;45;76,08;101;101;16
"47";"Group";"[75,80)";"nonICU";11,5251358695652;8;0;4;8;15;25;33,45;56,29;149;149;11
"48";"Group";"[75,80)";"ICU";19,2049861495845;16;0;9;16;24;36;49;83,1999999999999;112;112;15
"49";"Group";"[80,150)";"nonICU";10,0928381962865;7;0;3;7;13;22;29;55;228;228;10
"50";"Group";"[80,150)";"ICU";15,765625;12;0;7;12;20;32;43;65,81;115;115;13
"51";"Entry.month";"2020-03";"nonICU";14,7217391304348;9;0;4;9;19;34,6;48,8;72,8;135;135;15
"52";"Entry.month";"2020-03";"ICU";25,0849056603774;14;0;7;14;29,75;61;96,25;137,8;151;151;22,75
"53";"Entry.month";"2020-04";"nonICU";10,4194756554307;7;0;3;7;14;23;30,6999999999999;57,3399999999999;99;99;11
"54";"Entry.month";"2020-04";"ICU";19,6388888888889;16;0;7,75;16;26,5;35,9;56,2;71,74;76;76;18,75
"55";"Entry.month";"2020-05";"nonICU";13,7718120805369;7;0;4;7;16;30,6000000000001;41,6;80,8800000000002;206;206;12
"56";"Entry.month";"2020-05";"ICU";21,3846153846154;20,5;0;11;20,5;28;38,5;44,5;58;62;62;17
"57";"Entry.month";"2020-06";"nonICU";17,241134751773;9;1;5;9;20;35;60;131,8;163;163;15
"58";"Entry.month";"2020-06";"ICU";21,6176470588235;12;0;8;12;24,75;52,3;57,4;114,27;141;141;16,75
"59";"Entry.month";"2020-07";"nonICU";17,5675675675676;8;0;4;8;17,5;36;71;136,2;139;139;13,5
"60";"Entry.month";"2020-07";"ICU";11,2173913043478;7;0;4,5;7;17,5;23,8;25,8;29,12;30;30;13
"61";"Entry.month";"2020-08";"nonICU";19,2828282828283;10;0;5;10;22;50;62,1999999999999;84,3199999999997;149;149;17
"62";"Entry.month";"2020-08";"ICU";29,0344827586207;13;2;9;13;42;62,2;86,8;155,36;180;180;33
"63";"Entry.month";"2020-09";"nonICU";21,3562231759657;12;0;6;12;24;47;70,7999999999997;148,32;228;228;18
"64";"Entry.month";"2020-09";"ICU";27,046875;21,5;0;12;21,5;34,75;50,8;66,85;100,13;131;131;22,75
"65";"Entry.month";"2020-10";"nonICU";12,7113402061856;9;0;4;9;16;28;38;73;101;101;12
"66";"Entry.month";"2020-10";"ICU";21,3658536585366;17;0;9;17;27;38,7;53,8;107,62;134;134;18
"67";"Entry.month";"2020-11";"nonICU";11,4439252336449;8;0;4;8;14;25;35;65,7799999999997;142;142;10
"68";"Entry.month";"2020-11";"ICU";21,864553314121;17;0;8;17;29;46,4;61,7;76,08;199;199;21
"69";"Entry.month";"2020-12";"nonICU";12,2882191780822;9;0;4;9;17;28;36;55;100;100;13
"70";"Entry.month";"2020-12";"ICU";18,5137931034483;17;0;10;17;24;33;41,55;60;76;76;14
"71";"Entry.month";"2021-01";"nonICU";9,30534140969163;7;0;3;7;12;21;26;40,6900000000001;136;136;9
"72";"Entry.month";"2021-01";"ICU";17,2513661202186;15;0;8;15;22;31;40,6;79,1999999999998;142;142;14
"73";"Entry.month";"2021-02";"nonICU";7,83245679939895;5;0;3;5;10;17;22;39,7;82;82;7
"74";"Entry.month";"2021-02";"ICU";20,2146341463415;17;0;9;17;27;39;49,8;81,84;119;119;18
"75";"Entry.month";"2021-03";"nonICU";10,3089430894309;7;0;3;7;13,5;21;32,8;39,78;57;57;10,5
"76";"Entry.month";"2021-03";"ICU";19,6538461538462;16,5;0;9;16,5;28;39;44,35;59,92;64;64;19
